net,length_um
net513,12.62µm
net417,12.6µm
clknet_1_1__leaf_net465,12.59µm
net651,12.58µm
net44,12.56µm
net1022,12.54µm
net499,12.52µm
net478,12.5µm
in60,12.46µm
net243,12.28µm
net337,12.28µm
net679,12.28µm
clknet_1_1__leaf_net60,12.23µm
clknet_1_0__leaf_net302,12.2µm
net503,12.16µm
net612,12.16µm
net703,12.12µm
net352,12.06µm
clknet_1_1__leaf_net604,12.04µm
net682,12.03µm
net589,12.02µm
net1100,12.02µm
net1099,12µm
clknet_1_0__leaf_net971,11.98µm
in41,11.94µm
in57,11.9µm
net55,11.84µm
net626,11.82µm
net100,11.74µm
